worker_code,zone_code,assignment_date
"W38","Z268","2024-05-28"
"W38","Z628","2024-06-14"
"W38","Z350","2024-07-15"
"W38","Z849","2024-07-25"
"W38","Z599","2024-08-07"
"W38","Z900","2024-08-25"
"W38","Z209","2024-11-03"
"W38","Z974","2024-11-05"
"W38","Z823","2024-11-09"
"W39","Z237","2024-03-30"
"W39","Z535","2024-04-03"
"W39","Z146","2024-04-22"
"W39","Z781","2024-04-26"
"W39","Z988","2024-05-15"
"W39","Z152","2024-07-28"
"W39","Z398","2024-10-28"
"W39","Z485","2024-11-01"
"W40","Z34","2024-03-26"
"W40","Z394","2024-04-06"
"W40","Z805","2024-07-10"
"W40","Z563","2024-07-23"
"W40","Z188","2024-07-26"
"W40","Z640","2024-07-27"
"W40","Z437","2024-08-01"
"W40","Z403","2024-09-11"
"W40","Z73","2024-11-28"
"W40","Z873","2024-12-02"
"W40","Z513","2024-12-04"
"W40","Z947","2025-02-03"
"W40","Z38","2025-02-07"
"W40","Z309","2025-02-11"
"W40","Z625","2025-02-12"
"W40","Z782","2025-02-14"
"W40","Z321","2025-02-16"
"W41","Z125","2024-03-31"
"W41","Z427","2024-04-22"
"W41","Z343","2024-05-31"
"W41","Z582","2024-06-03"
"W41","Z565","2024-06-15"
"W41","Z953","2024-06-21"
"W41","Z535","2024-06-29"
"W41","Z530","2024-09-29"
"W41","Z468","2024-10-04"
"W41","Z642","2024-12-03"
"W42","Z461","2024-03-14"
"W42","Z206","2024-03-23"
"W42","Z662","2024-04-03"
"W42","Z977","2024-04-23"
"W42","Z362","2024-08-09"
"W42","Z99","2024-08-25"
"W42","Z838","2024-09-17"
"W42","Z128","2024-10-02"
"W42","Z616","2024-10-13"
"W42","Z933","2024-10-30"
"W42","Z971","2024-11-06"
"W42","Z229","2024-11-11"
"W42","Z828","2024-12-27"
"W42","Z142","2025-02-17"
"W43","Z334","2024-03-28"
"W43","Z444","2024-07-31"
"W43","Z379","2024-08-25"
"W43","Z399","2024-08-26"
"W43","Z669","2024-09-27"
"W43","Z558","2024-10-14"
"W43","Z40","2024-10-31"
"W43","Z869","2024-11-05"
"W43","Z370","2024-11-10"
"W43","Z7","2024-12-10"
"W43","Z520","2025-01-12"
"W43","Z611","2025-01-21"
"W43","Z980","2025-01-25"
"W44","Z763","2024-03-29"
"W44","Z432","2024-04-19"
"W44","Z902","2024-05-31"
"W44","Z849","2024-06-20"
"W44","Z225","2024-07-11"
"W44","Z54","2024-08-18"
"W44","Z252","2024-12-16"
"W44","Z254","2025-02-25"
"W45","Z685","2024-04-10"
"W45","Z580","2024-04-21"
"W45","Z375","2024-05-13"
"W45","Z648","2024-07-07"
"W45","Z808","2024-11-26"
"W45","Z260","2024-12-10"
"W45","Z997","2024-12-11"
"W45","Z402","2024-12-12"
"W45","Z838","2025-01-25"
"W45","Z363","2025-01-29"
"W45","Z536","2025-02-18"
"W46","Z627","2024-04-22"
"W46","Z91","2024-05-02"
"W46","Z1000","2024-06-18"
"W46","Z431","2024-06-22"
"W46","Z550","2024-07-02"
"W46","Z668","2024-07-25"
"W46","Z698","2024-07-28"
"W46","Z590","2024-08-20"
"W46","Z764","2024-09-20"
"W46","Z572","2024-10-13"
"W46","Z99","2024-11-18"
"W46","Z495","2024-12-08"
"W46","Z409","2024-12-21"
"W47","Z939","2024-03-31"
"W47","Z726","2024-05-16"
"W47","Z564","2024-06-01"
"W47","Z998","2024-06-10"
"W47","Z297","2024-06-17"
"W47","Z612","2024-06-29"
"W47","Z465","2024-07-12"
"W47","Z933","2024-08-10"
"W47","Z152","2024-08-16"
"W47","Z528","2024-11-08"
"W47","Z95","2024-11-10"
"W47","Z586","2024-11-26"
"W47","Z585","2024-12-01"
"W47","Z261","2025-01-08"
"W47","Z421","2025-01-12"
"W47","Z168","2025-02-01"
"W47","Z445","2025-02-10"
"W47","Z727","2025-02-25"
"W48","Z521","2024-05-10"
"W48","Z962","2024-07-28"
"W48","Z991","2024-08-10"
"W48","Z842","2024-08-23"
"W48","Z382","2024-10-09"
"W48","Z446","2024-10-14"
"W48","Z382","2024-11-11"
"W48","Z934","2024-12-17"
"W48","Z80","2024-12-18"
"W48","Z537","2024-12-27"
"W48","Z642","2024-12-28"
"W48","Z631","2025-01-16"
"W48","Z289","2025-02-07"
"W49","Z571","2024-04-02"
"W49","Z607","2024-04-04"
"W49","Z628","2024-04-10"
"W49","Z956","2024-04-21"
"W49","Z229","2024-05-05"
"W49","Z554","2024-06-22"
"W49","Z102","2024-06-26"
"W49","Z368","2024-06-28"
"W49","Z950","2024-07-23"
"W49","Z319","2024-08-05"
"W49","Z376","2024-09-13"
"W49","Z383","2024-12-22"
"W49","Z449","2025-01-11"
"W49","Z638","2025-01-22"
"W49","Z563","2025-02-01"
"W50","Z876","2024-05-01"
"W50","Z140","2024-05-13"
"W50","Z625","2024-06-19"
"W50","Z625","2024-06-28"
"W50","Z607","2024-10-04"
"W50","Z434","2024-10-07"
"W50","Z19","2024-11-06"
"W50","Z830","2024-12-13"
"W50","Z501","2024-12-16"
"W50","Z921","2025-01-20"
"W51","Z828","2024-03-14"
"W51","Z701","2024-05-06"
"W51","Z118","2024-06-10"
"W51","Z519","2024-07-03"
"W51","Z810","2024-08-05"
"W51","Z444","2024-08-26"
"W51","Z38","2024-11-04"
"W51","Z970","2024-11-23"
"W51","Z767","2024-11-28"
"W51","Z689","2024-12-05"
"W51","Z25","2024-12-24"
"W51","Z576","2024-12-30"
"W51","Z111","2025-01-02"
"W52","Z822","2024-04-22"
"W52","Z655","2024-06-06"
"W52","Z924","2024-06-08"
"W52","Z95","2024-10-13"
"W52","Z125","2024-12-04"
"W52","Z316","2024-12-19"
"W52","Z322","2025-03-10"
"W53","Z525","2024-03-26"
"W53","Z251","2024-04-20"
"W53","Z921","2024-05-12"
"W53","Z506","2024-05-17"
"W53","Z823","2024-05-21"
"W53","Z972","2024-07-10"
"W53","Z626","2024-07-31"
"W53","Z16","2024-08-17"
"W53","Z723","2024-10-02"
"W53","Z94","2024-11-30"
"W53","Z675","2024-12-04"
"W53","Z737","2025-01-18"
"W54","Z137","2024-04-08"
"W54","Z411","2024-04-30"
"W54","Z894","2024-06-01"
"W54","Z847","2024-07-06"
"W54","Z357","2024-07-30"
"W54","Z414","2024-08-12"
"W54","Z440","2024-08-17"
"W54","Z110","2024-08-23"
"W54","Z405","2024-10-02"
"W54","Z744","2024-10-05"
"W54","Z998","2024-10-21"
"W54","Z511","2024-11-10"
"W54","Z142","2024-12-08"
"W54","Z779","2024-12-27"
"W54","Z358","2024-12-28"
"W54","Z229","2025-01-04"
"W54","Z1000","2025-01-20"
"W55","Z547","2024-04-28"
"W55","Z474","2024-05-04"
"W55","Z490","2024-05-15"
"W55","Z193","2024-05-28"
"W55","Z350","2024-06-26"
"W55","Z501","2024-06-30"
"W55","Z795","2024-07-08"
"W55","Z160","2024-07-13"
"W55","Z613","2024-07-21"
"W55","Z552","2024-08-10"
"W55","Z720","2024-08-14"
"W55","Z673","2024-08-16"
"W55","Z327","2024-09-16"
"W55","Z160","2024-11-08"
"W55","Z481","2024-12-30"
"W56","Z705","2024-03-30"
"W56","Z68","2024-04-08"
"W56","Z348","2024-05-26"
"W56","Z659","2024-05-27"
"W56","Z750","2024-05-28"
"W56","Z51","2024-08-21"
"W56","Z401","2024-11-10"
"W56","Z781","2024-12-22"
"W56","Z4","2025-01-19"
"W56","Z879","2025-02-02"
"W56","Z208","2025-02-19"
"W57","Z443","2024-03-16"
"W57","Z869","2024-03-24"
"W57","Z241","2024-03-27"
"W57","Z262","2024-05-25"
"W57","Z620","2024-06-17"
"W57","Z86","2024-08-05"
"W57","Z279","2024-09-15"
"W57","Z409","2024-09-20"
"W57","Z533","2024-09-22"
"W57","Z888","2024-09-26"
"W57","Z135","2024-09-27"
"W57","Z603","2024-10-10"
"W57","Z905","2024-10-14"
"W57","Z202","2024-10-16"
"W57","Z591","2024-10-22"
"W57","Z209","2024-11-06"
"W57","Z45","2024-11-16"
"W57","Z630","2024-11-27"
"W57","Z359","2024-12-05"
"W57","Z491","2024-12-15"
"W58","Z457","2024-03-19"
"W58","Z866","2024-03-31"
"W58","Z287","2024-05-17"
"W58","Z161","2024-07-12"
"W58","Z441","2024-10-31"
"W58","Z625","2024-12-17"
"W58","Z889","2024-12-22"
"W58","Z234","2025-01-08"
"W58","Z141","2025-01-25"
"W58","Z312","2025-01-28"
"W58","Z902","2025-02-08"
"W59","Z525","2024-04-09"
"W59","Z632","2024-05-15"
"W59","Z968","2024-05-30"
"W59","Z152","2024-06-19"
"W59","Z307","2024-07-08"
"W59","Z859","2024-07-17"
"W59","Z271","2024-08-24"
"W59","Z865","2024-10-11"
"W59","Z129","2024-10-18"
"W59","Z667","2024-10-24"
"W59","Z639","2024-12-12"
"W60","Z581","2024-04-25"
"W60","Z564","2024-05-13"
"W60","Z122","2024-05-16"
"W60","Z188","2024-07-01"
"W60","Z475","2024-07-27"
"W60","Z10","2024-11-02"
"W60","Z405","2024-11-26"
"W60","Z802","2024-12-14"
"W60","Z80","2024-12-29"
"W60","Z273","2024-12-31"
"W60","Z918","2025-01-14"
"W60","Z940","2025-01-19"
"W60","Z904","2025-03-13"
"W61","Z498","2024-06-05"
"W61","Z930","2024-08-31"
"W61","Z472","2024-09-13"
"W61","Z697","2024-11-24"
"W61","Z837","2024-12-04"
"W61","Z995","2024-12-26"
"W61","Z660","2025-02-04"
"W62","Z609","2024-03-19"
"W62","Z288","2024-04-05"
"W62","Z911","2024-04-21"
"W62","Z994","2024-05-26"
"W62","Z120","2024-06-15"
"W62","Z464","2024-06-16"
"W62","Z820","2024-06-22"
"W62","Z272","2024-07-04"
"W62","Z348","2024-07-17"
"W62","Z748","2024-08-03"
"W62","Z80","2024-09-23"
"W62","Z804","2024-11-19"
"W62","Z581","2024-11-26"
"W62","Z360","2024-12-25"
"W62","Z791","2025-01-04"
"W62","Z936","2025-01-23"
"W62","Z883","2025-02-04"
"W62","Z792","2025-02-11"
"W62","Z810","2025-03-09"
"W63","Z947","2024-04-05"
"W63","Z955","2024-04-06"
"W63","Z640","2024-06-18"
"W63","Z624","2024-08-12"
"W63","Z110","2024-08-13"
"W63","Z409","2024-09-17"
"W63","Z115","2024-10-24"
"W63","Z812","2025-01-14"
"W63","Z316","2025-01-29"
"W63","Z159","2025-02-08"
"W63","Z930","2025-03-01"
"W64","Z169","2024-03-23"
"W64","Z650","2024-07-26"
"W64","Z38","2024-08-28"
"W64","Z856","2024-09-19"
"W64","Z384","2024-11-06"
"W64","Z283","2024-11-30"
"W64","Z120","2024-12-24"
"W64","Z54","2025-01-06"
"W64","Z274","2025-01-08"
"W64","Z260","2025-01-09"
"W64","Z624","2025-01-15"
"W65","Z83","2024-03-29"
"W65","Z575","2024-04-20"
"W65","Z752","2024-04-23"
"W65","Z631","2024-05-07"
"W65","Z759","2024-05-23"
"W65","Z939","2024-06-11"
"W65","Z172","2024-06-21"
"W65","Z685","2024-07-31"
"W65","Z471","2024-09-19"
"W65","Z901","2024-10-26"
"W65","Z487","2025-01-16"
"W65","Z976","2025-02-07"
"W66","Z286","2024-03-19"
"W66","Z568","2024-05-18"
"W66","Z987","2024-07-24"
"W66","Z181","2024-08-17"
"W66","Z237","2024-09-12"
"W66","Z43","2024-09-20"
"W66","Z278","2024-11-07"
"W66","Z987","2024-12-13"
"W66","Z103","2025-01-04"
"W66","Z444","2025-01-22"
"W66","Z625","2025-01-24"
"W66","Z885","2025-02-23"
"W67","Z641","2024-05-13"
"W67","Z879","2024-05-29"
"W67","Z951","2024-06-26"
"W67","Z713","2024-07-30"
"W67","Z607","2024-08-07"
"W67","Z477","2024-08-30"
"W67","Z955","2024-11-18"
"W67","Z961","2025-03-01"
"W68","Z923","2024-06-04"
"W68","Z828","2024-07-07"
"W68","Z734","2024-07-19"
"W68","Z127","2024-08-12"
"W68","Z94","2024-09-16"
"W68","Z388","2024-10-17"
"W68","Z398","2024-12-20"
"W68","Z314","2024-12-24"
"W68","Z565","2024-12-31"
"W68","Z177","2025-01-07"
"W68","Z740","2025-01-13"
"W68","Z843","2025-02-16"
"W69","Z415","2024-03-15"
"W69","Z642","2024-03-27"
"W69","Z791","2024-04-02"
"W69","Z168","2024-05-02"
"W69","Z400","2024-06-20"
"W69","Z225","2024-06-26"
"W69","Z941","2024-07-27"
"W69","Z455","2024-09-17"
"W69","Z932","2024-09-22"
"W69","Z429","2024-09-25"
"W69","Z165","2024-10-03"
"W69","Z702","2024-12-03"
"W69","Z110","2025-02-14"
"W70","Z437","2024-03-23"
"W70","Z845","2024-04-08"
"W70","Z721","2024-05-02"
"W70","Z670","2024-05-13"
"W70","Z523","2024-05-16"
"W70","Z22","2024-05-21"
"W70","Z18","2024-07-24"
"W70","Z646","2024-08-02"
"W70","Z84","2024-09-28"
"W70","Z345","2024-10-15"
"W70","Z585","2024-10-28"
"W70","Z543","2024-12-05"
"W70","Z407","2025-01-20"
"W70","Z794","2025-02-11"
"W70","Z306","2025-02-16"
"W70","Z537","2025-03-03"
"W71","Z561","2024-03-25"
"W71","Z206","2024-04-10"
"W71","Z442","2024-05-01"
"W71","Z646","2024-05-04"
"W71","Z155","2024-06-05"
"W71","Z498","2024-07-14"
"W71","Z67","2024-10-27"
